,text,airline_sentiment
78,"@AmericanAir Heard back at 7:30 am today, was put on flight tomorrow AM, arriving home at 4 pm. Meaning I'd have to take a 2nd day off work.",1
79,@AmericanAir big surprise flight 2330 is delayed. Hopefully not for 6 hours like our flight here.  Thanks again for a sleepless night.,1
80,@USAirways oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.,1
81,"@USAirways my buddies are currently delayed 3.5 hours and counting in DCA on their ways to CAE for a golf week, any compensation? #FlyDelta",1
82,@SouthwestAir it's just the principle - it's hard to get mugged &amp; not be upset you took my money &amp; didn't give me anything #wrongiswrong,1
83,@united and to add to my earlier tweet. This was my daughters 5th Bday present. Thank you for the hard work and making it happen.,0
84,@AmericanAir Thanks for the response.Tough night for all involved. Our flight got Cancelled Flightled as we started taxiing down the runway.,1
85,"@VirginAmerica Trying to reset my password, email never arrives. Help?",1
86,@AmericanAir it's not just frustrating--it was PAID for! how do we get a refund?,1
87,@USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks,1
88,"@USAirways &amp; also that I was told no comps, upgrades, etc. ReFlight Booking Problems is good enough. #usairwaysfail",1
89,@united Thanks! Just DMed HN.,0
90,@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,1
91,"@AmericanAir Your AA3465 staff are refusing to allow a woman to board. She was here at 8 for 8:16 departure. Sign still ""Now Boarding""...",1
92,@SouthwestAir have u seen any of the messages the past hour ?,1
93,@united. Thanks United for the no running water and Late Flight flight from Grand Rapids to Denver,1
94,@united I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler,1
95,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed,1
96,@AmericanAir this is ridiculous! You all really have terrible customer service and a lack of urgency. Im convinced.,1
97,@SouthwestAir luxury! Only 40 people on this flight. I'm going to get spoiled.,1
98,@USAirways It's very difficult to work with Baggage claims when they don't answer the phone,1
99,"@united I am a frequent user. Congrats u only lost my bags once in 20 years. Problem, it was today and your staff were rude!😢 still no bag!",1
100,"@USAirways car services to and from the hotel, food, hotel cost bc of Cancelled Flightlations fall on the customer with last minute notifications",1
101,"@SouthwestAir could care more about their customer, if there is a reasonable request :(",1
102,"@USAirways Well, that's a problem considering I need to book a flight tonight for this weekend... is there anything you can do?",1
103,"@united Had wonderful, on time flights from OGG to MSN Lost RX eyeglasses (thick) in the Admiral Club in Chicago this morning. Found?",0
104,"@USAirways check in at St. Louis is so rude, even the TSA is nicer than them.",1
105,@JetBlue Definitely! Lots of announcements and the app is great.,0
106,"@JetBlue NOT A HAPPY CUSTOMER. We've waited patiently, not to mention $150 and six months of marathon training, we need 2 be there tmrw.",1
107,@AmericanAir Still waiting on bags from flight 1613/2440 yesterday  First Class passenger not happy with your service.,1
108,@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,1
109,@SouthwestAir my flight is Cancelled Flightled due to weather. What next ?,1
110,@JetBlue suck and their customer services are the worst  whats the point of having a loyalty scheme that they don't honor #badairline,1
111,"@USAirways worked w/ Tiffany H at cust service desk in Charlotte and she was helpful and patient. Still stuck, but she was great.",0
112,"@JetBlue flight delayed 3x(!) and still not taking off on time, &amp; greeting me at my seat (yes it's gum &amp; garbage): http://t.co/n9hmcrJChb",1
113,@SouthwestAir Hi! I ❤️ your company and fly all the time. I was wondering if you could please share this link &amp; read! http://t.co/lO6LghPcdU,0
114,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",1
115,@AmericanAir is there any way you could put me up in a hotel for the night?? If not I'm having to sleep at the airport again tonight.,1
116,@SouthwestAir been all up and down the area where the pic was taken and don't see any albums.,1
117,@USAirways that's where we are now. Thank you.,0
118,"@USAirways the only way to assist, is to actually answer the phone.",1
119,@united more and more delays! No CS help at all! No notifications!,1
120,@SouthwestAir really shouldn't offer sweeps if your link isn't going to work! B http://t.co/nOfG0TQHYN,1
121,@JetBlue okay thank you! I'll check with them again!,0
122,@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.,1
123,"@USAirways Spoke on the phone 3 or 4 times, but no resolution. I'm still waiting to get my money back but now prices are jacked up",1
124,@united ooh thanks!,0
125,@SouthwestAir I'm on the 10:55 flight! Everyone has been so nice and helpful! I'm just hoping we'll get to fly out! Thank you! ;),0
126,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?,1
127,"@AmericanAir Got an email about an itinerary change, but can't seem to get to anyone on phone. New flight time doesn't work for me. Help?",1
128,@JetBlue they are now being sent off the plane? Does anyone at JetBlue have a clue?,1
129,@USAirways thank you for putting me on a flight that will be leaving Late Flightr than the original flight I was booked on.,1
130,@USAirways We've been on hold for over 7 hours after my wife's flight was Cancelled Flighted.,1
131,@united 1k use to be special.  80 people in group one.   Why not board global AND 1k together? http://t.co/qd2lyUXAZg,1
132,@JetBlue thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??,1
133,@AmericanAir this is awful customer service.,1
134,"@united #1007 Houston-Bogota with an engine problem, mechanics trying to ""fix"" the problem, safety first, better to change the plane",1
135,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.,0
136,@AmericanAir well Done all of you xx,0
137,@united The third wheelchair is broken! http://t.co/tvk0PyxQv5,1
138,"@united @airlines. Agents arguing about check bag announcement. Looked for room until seat 20, gave up and walked back to seat 7.Unnecessary",1
139,@SouthwestAir yep after two hours and thirty minutes,1
140,"@SouthwestAir has grounded 2 flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our 2 young kids.  never again.",1
141,@AmericanAir literally just stopped allowing people to wait in line for customer service. Incredible. From worst to no customer service.,1
142,@AmericanAir to realize your customer service leaves much to be desired and the folks handling the calls could care less...and it shows.,1
143,@SouthwestAir male flight attendant on flight 3913 from Orlando to Indy was AMAZING! He needs a raise 👍 Had the best experience with him,0
144,"@USAirways fight was delayed 3 hrs in MCO, now I'm stuck in Philly with a standby ticket, flight 4009. Solution needed.",1
145,@AmericanAir Yes I am. 2495/1170. RNO departure at 1229 on 2/25 w/connection at DFW to LGA. I can do the 1120am to LAX and then to JFK,1
146,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),0
147,@SouthwestAir you cx'ed almost the entire east coast flights All other planes are taking off any traveling fine I need to get to Nev ASAP,1
148,@VirginAmerica Another delayed flight? #likingyoulessandless,1
149,@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm,0
150,@JetBlue Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,0
151,@united Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.,1
152,"@AmericanAir 245. I'm about to take off but one of your reps at a different gate was rude when I asked for assistance. Thanks, though.",1
153,@JetBlue thank you 😊 standing in line now!,0
154,@USAirways Big fail on not having curbside baggage in Pittsburgh and you charge 30 dollars a bag!!,1
155,@united I have been told twice my issue has been resolved and twice it has not been. And when I write an email it bounces?! #worstservice,1
156,@United @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail,1
157,@USAirways on hold now over 2 hrs on one phone hung on 5 x on another? How do you reach a person? No weather condition makes this excusable!,1
158,@united Missing flight attendant = Delayed Flight. Prime example how 1 person impacts 100's of people. HNL -&gt; IAH (UA252) #wastedtime,1
159,"@JetBlue Flight 1562 had a 4 1/2 hour weather delay, but what is the 45 minute delay in getting bags to tired passengers?",1
160,@united quick (serious) question - any resources/ratings showing the quality of service is better than 8th place? http://t.co/deWIthPeW2,1
161,@USAirways   My email gets me a canned response that it takes 10 days for mileage to get credited --- It's been three months and my miles,1
162,@JetBlue: So excited to hear about your move towards international travel from Long Beach Airport!,0
163,@AmericanAir got back eventually! Was a rollercoaster. Once I got to the airport &amp; got to speak to someone things got fixed very quick.,0
164,@SouthwestAir @SouthwestOliver that's a great FA right there.,0
165,@JetBlue thank you for help and quick response,0
166,"@united your website won't allow me to post the required document, i keep getting **were having technical difficulties**",1
167,@SouthwestAir why do you let one person board with early bird and save seats for entire party? #notcool #flight2149,1
168,@JetBlue Been a member since 2007. Looking to travel next week 2/24-2/27. Couldn't book right away due to all the snow; I'm in BOS.,1
169,@united no it weighed 45.5 and it was the only checked bag,1
170,@united so the last seg of my flight from Denver (DEN) to hayden/steamboat (HDN) for 8am got Cancelled Flightled and I need help finding my luggage,1
171,"@JetBlue great trip today!  Thanks to the crew flying us home, they were fantastic! http://t.co/sk6W9XQaQB",0
172,@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?,1
173,@Southwestair is this account even aware of the #destinationdragons contest? The one youre fucking up for me?,1
174,@AmericanAir then taxi across dfw airport for 20 min to then state 75 min past departing from gate that we need deiced? Wow. Uncool &amp; untrue,1
175,"@JetBlue lol at your ""estimated departure time."" Plane hasn't even started boarding yet. You can't even get your delays right.",1
176,@united then watched my connecting flight in DEN pull away from the gate only to pull into THE SAME gate. #SlapInTheFace,1
177,@USAirways that's it?!?!?,1
178,@AmericanAir made it!  Thanks AA!,0
179,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.,1
180,"@JetBlue Very excited, for the first time this Sunday, March 1 I get to fly #JetBlue flight 123 #Mint from JFK. Looking forward :-)",0
181,@USAirways : You Make the Reservation; We'll Make the Excuses! #usairwaysfail,1
182,"@AmericanAir Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.",0
183,"@AmericanAir I was flying today to MTY Mex at 9:30am but still appear Cancelled Flight, Where can i talk for another flight?",1
184,@JetBlue is a joke. Missed my connecting flight by 5 minutes. Last flight of the day and they don't hold it.  5 minutes.,1
185,@united so sorry. I ended up on US Air flight. Thank you though for getting back to me:),0
186,@USAirways - I wouldn't need to wait on hold for 6+ hours if your website worked correctly - please respond!,1
187,"@SouthwestAir @matthewebel And this is why I love flying Southwest. Excellent service, and you don't take yourselves too seriously!",0
188,"@united I'm rebooked now, but the line was 300 people deep.",1
189,@SouthwestAir your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.,1
190,@USAirways stranded in Philly- #Starving and can't get a meal voucher even though your plane had mechanical issue /  next flight in 10 hrs,1
191,@AmericanAir AA2416 on time and awesome flight. Great job American!,0
192,@USAirways Your app and website are trash AF.,1
193,@SouthwestAir will continue to be my airline of choice. @united -most frustrating travel day I've experienced. 5 delays and 4 gate changes?!,1
194,@USAirways I spent an hour on the phone with them and got no where at all,1
195,@SouthwestAir On hold for 45 minutes trying to rebook a Cancelled Flightled flight with a companion ticket. Help?,1
196,@USAirways Seriously. You can't tweet and let people know that you've got customers that have been on hold for 5 HOURS??!!,1
197,@AmericanAir have been waiting over THREE hours to talk to someone to rebook a flight due to weather. does call back service actually work??,1
198,@SouthwestAir why am I still in Baltimore?! @delta is doing laps around us and laughing about it. # ridiculous,1
199,@USAirways now on hold for 75 minutes.,1
200,@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.,1
201,@USAirways if I cant get through to reservations how can they take a look? 2+ hour hold times are not reasonable in any industry!,1
202,@AmericanAir  800 number will not even let you wait for next customer rep. Very frustrating. Can't talk to humans.,1
203,@AmericanAir Can care less if youre without your bags for a day or a week! Ive been 3 stories in the last 3 hours...I WANT MY BAG!,1
204,@JetBlue Alternatives?  You have absolutely no respect for loyal customers.  8 years.  No more.  I'm done.,1
205,@AmericanAir I've never had anything bad to say until now. No love for faithful customers.,1
206,"@SouthwestAir promised 4 rooms until Wednesday, (wentook3) and the hotel charged us $79 per room because we had a pink paper needed white?",1
207,@SouthwestAir Your crew on 4028 tonight was outstanding. God bless them and the medically trained passengers on board.,0
208,@JetBlue no more than half an hour wait. It's unreal. Finally first bag coming out. SJU needs to work on this,1
209,@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,1
210,@USAirways 40 minutes to put my TSA number in… 40 mins… and stop holding people hostage with requiring a dividends miles acct. @tsa,1
211,@JetBlue WHAT'S UP WITH WEBSITE CAN'T ACCESS FLIGHT INFO,1
212,"@AmericanAir submitted a case to AA customer relations two weeks ago, no word ever since! whats the point of even having CR?",1
213,@USAirways we might need a plane to get somewhere but just remember that you aren't the only choice #makeovertime#customerserviceplease,1
214,@americanair Not surprised that you were the Fastest Responding US Brand on Twitter for Q2 + Q3 2014. Also 10th fastest in the world in Q3,0
215,@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.,0
216,@AmericanAir no not yet. Waiting now to be connected to an agent,1
217,@AmericanAir crew did the best they could but it was out of their control. You only get one chance of a honeymoon &amp; you failed miserably,1
218,"@AmericanAir I fly American because of family but severe weather excuse so I can't call to make change, why have a computer if u cant modify",1
219,@USAirways it shouldn't take longer to get to the gate than the flight itself takes.... 59 minutes flying time - 47 minutes on runway so far,1
220,"@JetBlue @JayVig YES! Great real-time example. Thanks for being awesome, #JetBlue! #JVMChat",0
221,"@USAirways It's pretty hilarious that you want @SweetingR to finish his awful experience before doing something. Make it right, now.",1
222,I just need a place to sleep when I land without accommodations in PLS @AmericanAir!,1
223,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,1
224,@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,1
225,@SouthwestAir I'm flying in a couple of weeks and I need my ticket changed from my maiden name to my married name. Pls help!,1
226,.@AmericanAir I can't even get on the phone with your reservations team. The system automatically disconnects us.,1
227,@JetBlue your airline should have a better system to Inform your clients when their flights are Cancelled Flightled last min. 😒👺 we have schedules too,1
228,@JetBlue thanks for your help! #jetbluesofly,0
229,@USAirways waiting all day at ATL since flight this am Cancelled Flightled. 1 standby told no seats and group of 15 shows up Late Flight and gets on to PHL,1
230,@USAirways  last 2 times I checked a bags they were severally damaged.   No one answers the baggage call line for status?  #chairmanlove,1
231,@USAirways delayed depart bc ur flight attendant wasn't there. Then after landing took 3 hrs to get a gate. Now it's another he and NO bags,1
232,@united is so cheap they couldn't afford to run the AC on #UA1510. They took pressure cooker to a new level. #Cheap #WorstAirline,1
233,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline",1
234,"@USAirways my friends at KPHL were told by your rep ""if it were me I woulda just gone home this am and tried again tomorrow."" 1/2",1
235,"@united Not until tomorrow night. And the hotel voucher had higher rate than travelocity Not loving cost, but hard working staff",1
236,@USAirways @Expedia 7 Hours for my friend to rebook his trip to Korea after @USAirways Cancelled Flightled a connecting flight to Chicago = IDIOTIC.,1
237,@united Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated,1
238,"@JetBlue, your hold music sucks.",1
239,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.,1
240,@USAirways thank you very much.,0
241,@AmericanAir I had an advantage # and you deactivated it. I don't think you should deactivate a customers acct without their knowledge #help,1
242,@USAirways over 2 hours and 14 minutes on hold and counting. Thanks for the help! #customerservice #brutal http://t.co/VsKXyAmnom,1
243,@JetBlue disappointed with the missed connection from ROC to SLC and no reimbursement even tho friend who is a pilot said it was due to ATC,1
244,"@SouthwestAir @intuit @jhamilton2007 4 moms, 4 careers, 1 day trip to LA. #intuitlife #leanin http://t.co/2qJbCv5jzq"" #southwestairlines",0
245,@united direct messages not going through please help,1
246,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,1
247,"@usairways really need help asap, so please make it quick. Thx.",1
248,@USAirways YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,0
249,@united yes I did. Terrible service from your courrier,1
250,@AmericanAir Flight for tomorrow was Cancelled Flightled. New one booked. Seats taken care of. Just a tweet to commend you all on the service. Thanks!,0
251,@usairways Thx for responding :) When bags came there was mad rush towards end of jetway—why not just put thru baggage claim?,1
252,@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;),0
253,@united is honestly RUINING MY FUCKING LIFE RIGHT NOW. NEVER AGAIN!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
254,@united then send your Jeff Smisek on a trip with JetBlue or SW and make sure he takes notes. I would never choose to fly United again.,1
255,@JetBlue I shouldn't be made to feel like a criminal because I want to sit near my 5 year old on a flight. #jetblue http://t.co/qgtCao1J2U,1
256,@JetBlue I will try that. Thanks! If all else fails I will just do the old fashioned method tomorrow morning.,0
257,@USAirways ok thank you we were told ground delay due to snow.,0
258,"@SouthwestAir What can we do to bring you back to Jackson, MS?! We miss you terribly around here. These other airlines are horrible!!",0
259,@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago,1
260,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!,0
261,@SouthwestAir Pls help. On hold 4 long time now. Travelling 4 business and flight 2 ORF from MCI was Cancelled Flightled.  Need to get out there ASAP.,1
262,@SouthwestAir been waiting for 70 minutes on hold because yall Cancelled Flightled my return flight. Answer the phone!!!,1
263,"@USAirways Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you.",1
264,"@USAirways keeps dropping my call and won't even let me stay on hold because they are ""too busy"" #idontwanttocallback",1
265,@JetBlue hey you guys remembered lol! But now my BOS flights delayed... And turn the heat down in T5 it feels hotter than PR.,1
266,@AmericanAir what sense is it to charge for a bag service when the service isn't great. Losing luggage and now missing items this is bs,1
267,@USAirways Cancelled Flightled due to maintenance. The plane was there for 10 hours. Get your shit together because there are a lot of people unhappy.,1
268,@united On last flight of the day no less. I am now driving 4 hours to Aspen thru a snowstorm Thx to your teams lack of customer empathy,1
269,@AmericanAir AA 2258 why have you Cancelled Flightled our flight without courtesy of notifying us or alternatives?  Very poor.,1
270,Don't show these to Larry Fedora. RT @JetBlue: Our fleet's on fleek. http://t.co/qqlzk2jkzR,0
271,"@united If someone misses his connecting flight because of the airline, and it was the last flight of the day, how will you fix it?",1
272,@SouthwestAir been sleeping on the floor like I'm homeless and now delayed flights because the equipment isn't working! I have a job to get2,1
273,@USAirways got this message on your site to call about my flight - just gave up after being on hold for 3 HOURS! http://t.co/5cDX2ROAE6,1
274,@SouthwestAir Awwweesssooomee!,0
275,@SouthwestAir your wifi is angering me with its slowness,1
276,"@SouthwestAir customer svc worse than the #WinterWeather !  Flight Cancelled Flighted, website malfunction, on hold for &gt;1:34. http://t.co/PgwUkrpMOx",1
277,"@USAirways yeah , I have been expecting The same for 3 hours",1
278,@united what about the poor customer service at checkin at Kansas KCI?!? That's it???,1
279,@SouthwestAir shhhh i don't want something else to steal our deal😉,0
280,@united Then why did your staff refuse to let ME on the earlier flight citing my having checked a bag?!?!,1
281,@AmericanAir #AmericanAirlines says most bags left in Miami have been returned following mechanical glitch &gt;&gt; http://t.co/Ib8kyjBCJM,1
282,@SouthwestAir my wife is trying to get a group of clients to their destination and just got disconnected after2 hours holding. Help.,1
283,@AmericanAir the one at 11:30am? My app still shows it as on time!,1
284,@AmericanAir “Inconvenient” is such a convenient word.,1
285,@USAirways your flight attendants are all jerks 🐳,1
286,"@united You cause me to miss my flight telling me it already left when it had not. No empathy from gate staff or crew, no apology. Really?",1
287,@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :),0
288,"@united my UA3426 on 2/19 was also delayed by 2 hours, stretching my trip way past the midnight, extremely exhausting!",1
289,@united be worse?oh you can't! delayed with no reason on the way to Lon;flight Cancelled Flighted with NO REASON less than 2 days before returning.,1
290,@AmericanAir customer service (if you can call it that) refunded my money,1
291,@SouthwestAir thank you so so much for sending me to LA for #DestinationDragons! Tonight is gonna rock😎,0
292,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight,0
293,@SouthwestAir #fail  southwest changes my flight to a different time and city and blames it on me. They won't correct it. #furious,1
294,@JetBlue thanks to the gent on the phone who fixed my BOS-MCO flight and the fee waiver! A320 now :) #flyfi ! I forget her name :(,0
295,"@AmericanAir thx, just sent the DM",0
296,"@AmericanAir no thanks.  As I said, being denied miles that expired one week ago was the last drop for me; plan to avoid AA as possible.",1
297,@SouthwestAir  flight at 630 from fll kiosk just opened. Rude attendants because now everyone is Late Flight. http://t.co/2Boh2Mh3cb,1
298,"@AmericanAir I sure hope you all can fix @USAirways. Good luck, their service sucks. #nexttimeiwillflysouthwest",1
