,Unnamed: 0,airline_sentiment,text,review_len
80,123,0,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,18
81,124,0,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,23
83,127,0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,18
89,136,0,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,17
90,138,0,@VirginAmerica always!!! Xoxo,3
93,141,0,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,12
95,144,0,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,21
98,147,0,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,12
99,148,0,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,14
102,152,0,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),14
116,176,0,@VirginAmerica Thank you for the follow,6
121,183,0,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,16
122,184,0,@VirginAmerica Only way to fly! #Elevate #Gold,7
125,189,0,@VirginAmerica you will match my #AmericanAirlines status? Cool!,8
128,193,0,@VirginAmerica thanks!,2
134,199,0,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,16
136,201,0,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",15
137,203,0,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,14
138,204,0,@VirginAmerica Keep up the great work :),7
139,205,0,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,21
140,206,0,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,27
141,208,0,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",11
145,212,0,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,13
154,222,0,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,22
155,223,0,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,21
158,227,0,@VirginAmerica Like http://t.co/VPqEm31XUQ,3
160,229,0,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,9
161,230,0,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",12
162,231,0,@VirginAmerica thanks so much!,4
164,233,0,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",14
165,234,0,@VirginAmerica Very nicely done. 👏,5
166,235,0,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),22
169,238,0,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,11
170,239,0,@VirginAmerica sounds like fun !,5
173,244,0,"@VirginAmerica classiq, luv Virgin America. Greetingz",6
175,246,0,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,18
176,247,0,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,9
177,248,0,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,24
181,252,0,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",15
182,254,0,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,11
183,258,0,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",20
187,264,0,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,20
190,269,0,@VirginAmerica I see what you did there ;),8
191,272,0,@VirginAmerica your inflight team makes the experience #amazing!,8
192,273,0,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,21
194,276,0,@VirginAmerica fav airline,3
195,277,0,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),12
197,281,0,@VirginAmerica Thank you!!,3
203,293,0,@VirginAmerica would love to do more for virgin just like I do for @GoPro,14
206,303,0,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,19
209,306,0,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,27
210,307,0,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",11
211,308,0,@VirginAmerica happy to spend the day together. Let's do this!,10
212,311,0,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps,12
213,313,0,@VirginAmerica thank you! I absolutely will 😎,7
219,323,0,@VirginAmerica How about some free drinks on the flight back for the free promo?,14
220,324,0,@VirginAmerica @SSal thanks!,3
222,331,0,@VirginAmerica Thanks!,2
223,332,0,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,12
224,333,0,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,12
228,341,0,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.",17
229,342,0,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,24
233,347,0,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",18
241,358,0,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",19
242,359,0,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!",13
243,362,0,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,15
244,363,0,@VirginAmerica ok! first time flying with you tonight :),9
248,369,0,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉,18
252,374,0,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!,12
253,375,0,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,30
255,378,0,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",23
256,379,0,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,25
257,381,0,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,19
259,384,0,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,20
260,385,0,@VirginAmerica that doesn't look to fat to me! It looks yummy!,11
261,391,0,@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,9
262,392,0,@VirginAmerica Your planes are really pretty. Just thought u should know that. :),13
264,395,0,@VirginAmerica thank you,3
266,397,0,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,8
269,401,0,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",20
270,404,0,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,15
271,406,0,@VirginAmerica great. Well deserved.,4
276,412,0,@VirginAmerica got it. All set - Thanks!,7
277,415,0,@VirginAmerica Giants and Virgin America. A match made in heaven.,10
278,416,0,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",9
282,421,0,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker,26
283,422,0,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!,17
285,427,0,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,12
286,429,0,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",25
287,430,0,@VirginAmerica OMG FINALLY,3
290,436,0,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,8
291,437,0,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,10
292,439,0,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",14
293,440,0,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.,14
294,443,0,@VirginAmerica Congrats VX on the new route! ✈️🎉,8
301,451,0,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,13
302,453,0,@VirginAmerica That's classy.,3
303,454,0,@VirginAmerica I'm sure a lot of your 747 and 777 JFK-LHR flights go a lot faster than 513mph with a strong tailwind.,22
304,455,0,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,18
306,459,0,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,17
307,463,0,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",25
308,464,0,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",19
309,465,0,@VirginAmerica I love the dancing little richard. cool beans.,9
310,466,0,@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.,21
311,467,0,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,13
313,470,0,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,13
314,475,0,@VirginAmerica Dad on Segway is the best part of this whole infographic!,12
315,476,0,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),19
316,477,0,@VirginAmerica wifi AND better seating.,5
318,480,0,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",19
324,488,0,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)",20
325,490,0,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin,9
326,491,0,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,14
327,493,0,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,13
331,498,0,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,18
332,502,0,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,22
333,504,0,@united thanks,2
334,505,0,@united Thanks for taking care of that MR!! Happy customer.,10
337,508,0,@united thanks -- we filled it out. How's our luck with this? Is it common?,15
341,515,0,@united thanks,2
342,516,0,@united Thanks. It is on the same ticket.,8
346,521,0,@united follow me please this airline is beautifull ♥,9
349,527,0,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,25
364,552,0,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer.",23
369,558,0,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",18
373,562,0,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,23
386,578,0,@united I flew United last month and the experience was AWESOME!,11
397,589,0,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",25
405,598,0,@united for the record- Rozana at Newark was lovely and helpful. #choosekind,12
406,600,0,@united thx for update,4
411,607,0,@united despite my bag not making it to Newark good informative email tracking updates help!,15
415,611,0,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy.",17
452,663,0,@united private jet would have been cool! Do does not work. I'll try again,14
457,670,0,"@united thanks, just sent :)",5
466,680,0,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round",21
472,687,0,@united thnx for the info,5
475,690,0,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...,18
479,695,0,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.,13
483,699,0,@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :),22
490,709,0,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.,16
497,716,0,@united thank you. Been trying for two days to set this up.,12
501,721,0,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,27
502,722,0,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care,18
503,723,0,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!",24
513,735,0,@united you are one great airline ❤️,7
520,745,0,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!,22
531,758,0,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!,25
542,773,0,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)",30
544,775,0,@united But thanks for asking,5
549,781,0,@united you too!,3
550,782,0,@united is my favorite airline.,5
563,799,0,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe,16
569,806,0,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM,10
590,833,0,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,20
591,834,0,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA",28
592,835,0,@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f,11
600,843,0,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.,19
603,846,0,@united I appreciate your efforts getting me home!,8
610,854,0,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",21
621,867,0,@united thank you.,3
627,876,0,@united thanks we'll be in touch!,6
628,877,0,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,23
630,882,0,@united I left my comment with customer care. Thanks for contacting me.,12
633,885,0,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”,21
634,886,0,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",19
636,889,0,@united These are great fares!!!!!,5
638,891,0,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.,19
640,893,0,@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother,24
651,908,0,@united thank you. I flew into Newark from Vail/Eagle.,9
657,915,0,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3,8
658,916,0,@united Thank you for responding so quickly with a helpful tool! @dustyob,12
670,933,0,@united Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.,24
678,941,0,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs,25
685,948,0,@united Thank you!,3
686,950,0,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0,9
722,994,0,@united thank you,3
726,998,0,@united he has no priority and Iove it,8
727,999,0,@united Pleased to be a Premier Platinum,7
738,1011,0,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”,21
740,1014,0,@united thanks for listening! I definitely was not the only person in line who thought it was absurd.,18
746,1020,0,@united ok. I just submitted. Thanks for the opportunity to give feedback.,12
747,1021,0,@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!,24
748,1022,0,"@united I will, as soon as I am done with my article.  Thanks!  ~Tom",16
758,1033,0,@united Ok thank again for your help!,7
760,1036,0,@united flight 1491...plane from SFO to DEN is basically on time.,11
761,1037,0,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.,22
771,1047,0,@united Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight. She did the work.  Huge thanks.,24
775,1051,0,"@united that would help! or how about integrate it into the App so I can just ""activate"" it and surf...",20
786,1066,0,@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.,18
791,1071,0,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE,12
799,1079,0,@united ok thx!,3
804,1086,0,@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.,16
805,1087,0,@united counter agents at RDU deserve a medal. #thankyou,9
808,1090,0,@united thank you. Literally called for preboarding as I ran up.,11
811,1093,0,@united that's brilliant Thankyou so much. Is it classed as part of carryon?,13
812,1095,0,@united thank you for listening to my compliant and doing the right thing. I appreciate you working with me,19
819,1103,0,@united Great! I'm ready to go home.,7
820,1104,0,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail,14
823,1108,0,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.,19
824,1110,0,@united Thank you! You need to follow back tho otherwise I can't DM you. X,15
827,1114,0,@united Just sent! Thanks :),5
861,1150,0,@united thank you very much for the help. We're do I pick up my bags aspen airport &amp; are they coming in today on flight911,25
873,1164,0,@united would love help getting there today. In #EWR now. Will take any airline and connections. Thx,17
879,1170,0,@united thank you!,3
880,1171,0,@united Thanks for the update.,5
885,1177,0,@united just confirmed a seat! Crisis averted! Beers won't be missed now,12
889,1181,0,@united Understood and thanks! I should have tried reaching out sooner.,11
894,1187,0,@united The DEN b44 agent (9:30am) was amazing. The MPAgent at check in? She sucks. @seanMFmadden @PeterStraubMMA @jmercadoMMA @TonySimsMMA,19
898,1191,0,@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior,17
916,1212,0,@united Thanks!,2
924,1220,0,"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!",24
932,1234,0,@united has the best customer experience via twitter - huge fan!!!,11
936,1239,0,@united love the new 1st class breakfast!,7
941,1246,0,@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!,27
947,1253,0,@united flew from sdf to ATL to Tampa on Delta. Left early. Arrived early. Crew helpful. Wifi worked!!,18
955,1264,0,@united Cool. Thank you.,4
956,1267,0,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight,25
989,1306,0,@united Was able to send the DM. All good now.,10
996,1315,0,@united have Michelle at T1 ORD train your other staff on how to treat customers. A refreshing pleasure to deal with.,21
1006,1329,0,@united EWR agent Barbara was FABULOUS and an example of CUST. SERV. A pleasure talking to you😊 http://t.co/KMQuLY9g5E,18
1012,1336,0,@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien,15
1017,1343,0,@united I am impressed with your super-fast reply to @CGJase,10
1018,1344,0,"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!",23
1024,1352,0,@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.,22
1049,1382,0,@united I wanna be grand staff,6
1054,1387,0,@united I wanna be ride United airline! I love airplane,10
1077,1411,0,@united you're my early frontrunner for best airline! #oscars2016,9
1081,1415,0,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky,20
1109,1448,0,@united will do. Thanks for the help. Cheers,8
1113,1452,0,@united I have 8 flights with you in the next two weeks :) let's make some good memories!,18
1126,1465,0,@united he is so excellent and so reliable :) #happycustomer,10
1129,1470,0,@united it was delivered! Thank you for making sure it arrived at my doorstep!,14
1132,1474,0,“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”,9
1135,1477,0,@united thank you!,3
1144,1486,0,@united I was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other Cancelled Flightlations.,23
1147,1489,0,"@united Thanks! LOL! #UA6259 will wait for us. Per @flightaware, same tail number as #UA5525 :)",16
1172,1518,0,@united bummer but thank you for the quick response,9
1182,1528,0,"@united They let us know in advance of the reboot, yes :) Thanks for the attentiveness!",16
1191,1538,0,@United Wanted to compliment ur phone agent Jeanette for reFlight Booking Problems RDU to SEA thru SFO after connecting flight thru EWR was Cancelled Flightled.,25
1203,1555,0,@united social media team is on point on #OscarNight :),10
1222,1576,0,@united thank you for following up!,6
1223,1577,0,@United Claudia in IAH terminal b travel assistance has me all set. Great service. Thank you.,16
1242,1604,0,@united Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem! #DEN,24
1246,1608,0,"@united thanks, it was my first time in a United lounge and felt welcomed.",14
1250,1613,0,@united can Cancelled Flight my flight anytime if this is where they keep me for the night.. http://t.co/avRTOWTyzk,18
1254,1617,0,@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅,18
1262,1626,0,@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.,22
1269,1633,0,@united and to add to my earlier tweet. This was my daughters 5th Bday present. Thank you for the hard work and making it happen.,25
1270,1634,0,@united you have a guy named Otis at ORD that knows what #customerservice is. he was able to get my bag to me. I upgraded just to be sure,29
1272,1636,0,"@united you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all",26
1280,1646,0,@united nope. Even better there were 4 seats. And due to W&amp;B first to raise hands got to move up. I wasn't fast enough.,24
1282,1648,0,@united look at this beauty 😉 dc-10 united airlines 😉 Hope you like this beauty 😉 http://t.co/NS1aCFqCdQ,17
1294,1662,0,@united it was such a lovely part of this long day - attendants on UA5168 (most) /UA795 were beyond exceptional today. #GiveThoseLadiesRaise,22
1295,1664,0,@united I trust you enough to put my coat in my checked bag!,13
1299,1668,0,"@united finally made it to rep, who solved my problem.",10
1301,1670,0,@united thanks gate agent extraordinaire Seau Fong for helping me get re-booked out of Boise and (hopefully) home to NYC sometime tonight!,22
1303,1672,0,@united Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!,18
1306,1677,0,@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!,18
1309,1681,0,@united nope all set. Thx for checking.,7
1313,1686,0,"@united on 2/20 Denver AP, gate B91 (destination Santa Fe), agent Ashley did an amazing job in the face of an angry traveler. Kudos.",24
1343,1717,0,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.,20
1351,1727,0,"@united thx off the response, finally got through the 45 min wait and talked to someone.",16
1359,1736,0,"@united Thx, just DM'd. Conf #'s MQXC64 &amp; MPWNC2. Any help appreciated",12
1383,1762,0,@united this is why I fly @SouthwestAir ... Never have any issues,12
1386,1765,0,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!,16
1408,1793,0,"@united Thanks so much , my passport was recovered",9
1435,1823,0,@united thanks. Just got on a couple of minutes ago. Great service on flight 479 btw. Please pass it to the team on that flight.,25
1439,1827,0,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!,14
1449,1840,0,@united will do. Just need to get CVG.... and my bag too. Thanks,13
1457,1849,0,"@united we got it, thanks.",5
1459,1851,0,"@united This is probably the least dependable airline in the Western Hemisphere. @united does not belong in Star Alliance, but SkyTeam",21
1461,1853,0,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.,15
1463,1855,0,"@united just touched down in Miami - not too far off , Nicely done united 👍",16
1467,1861,0,"@united it was very comfortable, now waiting for our luggage",10
1469,1864,0,@united thank you,3
1470,1865,0,@united finally got through and they were very helpful. Appreciate it!,11
1475,1874,0,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow,27
1477,1877,0,@united THANK YOU!,3
1491,1892,0,@united worked out after all. Thanks for your immediate reply!!,10
1510,1920,0,"@united Nicole at Quito airport took great care of us this week. Handled lost baggage, seat changes. Very professional/nice. Pat her back.",22
1516,1928,0,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD,15
